key,type,relative_path,num_files,num_bytes,sparse_sha256
PREPROC_DATA,file,c4-train.en_6_text_document.bin,1,47578969786,bff2f81c6e57e1cd0c5f7a17494f9ae5c6f4b275f28b38e250a07ad2a86d594e
PREPROC_DATA,file,c4-train.en_6_text_document.idx,1,912172262,12b75a8fe4304933b0df546415fe99ac58985626d53fed8873d38fc0b530ccdb
PREPROC_DATA,file,c4-train.en_7_text_document.bin,1,47976859012,59cbe1dd02ea4d193bb6b06c3fec11c768d3ce14e005514497c5723cb7caf883
PREPROC_DATA,file,c4-train.en_7_text_document.idx,1,919464442,dd6f7c57b4151d705335d3ff5c1676edbb5652bf9cb551357dfd7bcf887fed4c
PREPROC_DATA,file,tokenizer/special_tokens_map.json,1,414,6fa06efa2785e450051989a6f8fb4416b10149ded485ddd3f127a40734f5cfd0
PREPROC_DATA,file,tokenizer/tokenizer.json,1,1795188,8f583f5e58634820248d37f72c694625a937598710bb82ecb71e6f540b87e97d
PREPROC_DATA,file,tokenizer/tokenizer.model,1,493443,ac73737b6c18f75e6286cad16e44a2a8d7ee7cd8946d9def4a56f71fdc6c24d4
PREPROC_DATA,file,tokenizer/tokenizer.model.v1,1,493443,ac73737b6c18f75e6286cad16e44a2a8d7ee7cd8946d9def4a56f71fdc6c24d4
PREPROC_DATA,file,tokenizer/tokenizer_config.json,1,996,ddb008229511e51607002ffe28925001c4a9ca4177dc4de3a655d085cc610b99
CHECKPOINT,file,iter_0000000/__0_0.distcp,1,405854486584,bfd66f0be46bcee28a107066abf9e8060a7eec28281b63f51c5e5379134937ec
CHECKPOINT,file,iter_0000000/__0_1.distcp,1,405854450726,bc99e7860fea00c2848c659ae9c29f292e99087eefdea1cddc9ef95d3f7f7b33
CHECKPOINT,file,iter_0000000/common.pt,1,1389,fd7f8283052e54bacc2a9b75d6e880a5858fe330c538b8e8833dcd583e99f34a
CHECKPOINT,file,iter_0000000/metadata.json,1,119,9817072de14c715c70e8435a7fee90bac30abaf6885fc53ade6fe88babeef851
CHECKPOINT,file,iter_0000000/modelopt_run_config.yaml,1,4979,4eb51fe782615610d703af878934a4bbd28ce25028456b9692b4734e068730ea
CHECKPOINT,file,iter_0000000/run_config.yaml,1,15041,f350c86769e8d09029577f9e545303cd3b19e1c46b4bada1448b2cb5e5477b2f
CHECKPOINT,file,iter_0000000/tokenizer/special_tokens_map.json,1,301,cc2e013b7545f183ef03e079a3c91c6f364fa37e4068c512d7dd843e59024535
CHECKPOINT,file,iter_0000000/tokenizer/tokenizer.json,1,17209920,ea93d1384a85598589d1e3fd609a4bd8abf6c06cc29b1f4061e2b3d7eba32e38
CHECKPOINT,file,iter_0000000/tokenizer/tokenizer_config.json,1,50530,8e07189e9dbaac8ac9a60cd19c3294b6b93dc6910e823cefc48fce92157bf746
CHECKPOINT,file,iter_0000000/train_state.pt,1,3405,003c87e1db741ce438c2aa917bb5c4eab2190619a698b21890db0232e2043de0
CHECKPOINT,file,latest_checkpointed_iteration.txt,1,1,5feceb66ffc86f38d952786c6d696c79c2dbc239dd4e91b46729d73a27fb57e9
CHECKPOINT,file,latest_train_state.pt,1,3405,003c87e1db741ce438c2aa917bb5c4eab2190619a698b21890db0232e2043de0
